Marks,Grade_5_Scale,Grade_7_Scale
77.45071229516849,B,B
67.92603548243223,C,C+
79.71532807151038,B,B
92.84544784612038,A,A
66.48769937914996,C,C+
66.4879456457623,C,C+
93.68819223261087,A,A
81.51152093729362,A,A
62.95788421097572,C,C
78.13840065378947,B,B
63.04873460781307,C,C
63.01405369644615,C,C
73.62943407349051,B,B
41.30079633013303,F,F
44.12623251230451,F,F
61.56568706138541,C,C
54.80753319498364,D,D
74.71370998892911,B,B
56.37963886718184,D,C-
48.81544447997062,F,F
91.98473153382331,A,A
66.61335549270197,C,C+
71.01292307031886,B,B
48.62877720679815,F,F
61.834259132122256,C,C
71.66383884564799,B,B
52.73509633866546,D,D
75.63547027518509,B,B
60.99041965121793,C,C
65.62459375310085,C,C+
60.97440081655905,C,C
97.78417276763406,A,A
69.79754162893099,C,C+
54.13433606566149,D,D
82.33817368154783,A,A
51.68734525043467,D,D
73.13295392507133,B,B
40.60494814180336,F,F
50.07720926652354,D,D
72.95291853803685,B,B
81.07699869993115,A,A
72.57052421784955,B,B
68.2652757641764,C,C+
65.48344456616067,C,C+
47.82217014448859,F,F
59.20233687407937,D,C-
63.09041843560319,C,C
85.85683339328374,A,A
75.15427434352692,B,B
43.554397669558995,F,F
74.86125954092192,B,B
64.22376579375525,C,C
59.84616999541062,D,C-
79.17514433261302,B,B
85.46499283743927,A,A
83.96920178674299,A,A
57.41173715166042,D,C-
65.36181436223178,C,C+
74.96895147105346,B,B
84.63317690683539,A,A
62.81238643232065,C,C
67.21511535004274,C,C+
53.40497538990958,D,D
52.05690063878994,D,D
82.18788733591298,A,A
90.34360042856234,A,A
68.91984817629499,C,C+
85.05299346838036,A,A
75.42454037571451,B,B
60.323203680923136,C,C
75.4209340826262,B,B
93.07054849698955,A,A
69.46260941335073,C,C+
93.4696548372101,A,A
30.703823438653835,F,F
82.32853756562835,A,A
71.30570602357257,B,B
65.51488974301199,C,C+
71.37641164803253,B,B
40.18646628098661,F,F
66.70492168243732,C,C+
75.35668857267619,B,B
92.16841067112274,A,A
62.22594672589529,C,C
57.87259595660218,D,C-
62.47364434623195,C,C
83.73103176553111,A,A
74.93126664489526,B,B
62.05359694349442,C,C
77.69901149670034,B,B
71.4561632402206,B,B
84.52967485799334,A,A
59.469203591839715,D,C-
65.08506780103347,C,C+
64.11837770301764,C,C
48.04727577801822,F,F
74.44180415596864,B,B
73.91582908269834,B,B
70.07670184963692,B,B
66.4811929993728,C,C+
48.769438869243785,F,F
63.69032015851961,C,C
64.85928225209845,C,C
57.96584096167572,D,C-
67.58071432500986,C,C+
76.06076285221808,B,B
98.29278851815795,A,A
72.61866719247759,B,B
73.86325586084146,B,B
68.8833112635075,C,C+
41.21843177051438,F,F
69.60229186826174,C,C+
70.90345314911539,B,B
100.0,A,A
67.11458552828316,C,C+
74.52321013500419,B,B
69.47932345442135,C,C+
52.46982943570702,D,D
87.14234221772531,A,A
81.27899549030161,A,A
81.8654792056457,A,A
56.35918817807892,D,C-
91.04191466404149,A,A
48.97223405811579,F,F
78.80285640700406,B,B
100.0,A,A
55.14195512303968,D,C-
61.50553405595842,C,C
71.49477047631461,B,B
62.44786518825701,C,C
46.74004853400801,F,F
71.0284446220904,B,B
54.06544429410843,D,D
77.10388645952773,B,B
56.20863648649295,D,C-
93.24901607526309,A,A
58.251200614956446,D,C-
65.16907725691486,C,C+
82.20275826054504,A,A
51.53703525349067,D,D
73.41189901906193,B,B
89.60714131423643,A,A
45.88775148158159,F,F
72.76950787798457,B,B
73.89824191372635,B,B
81.72734307665965,A,A
51.44573933682877,D,D
50.193150803735854,D,D
77.82912348425347,B,B
74.45477009849779,B,B
73.75739275518815,B,B
75.19672314245463,B,B
59.79962917632264,D,C-
73.48380545741506,B,B
74.39608709948021,B,B
59.28472872960448,D,C-
97.98661766717134,A,A
77.10749381367681,B,B
52.13044754196027,D,D
79.84830412950744,B,B
55.379774946590175,D,C-
81.80626905613678,A,A
87.37893368511106,A,A
57.68976522472434,D,C-
84.45064193866483,A,A
76.19171390404748,B,B
82.33090239991735,A,A
98.4518947398092,A,A
66.31917825995694,C,C+
58.693957534637654,D,C-
56.65728355561715,D,C-
57.762845725518424,D,C-
68.84347435878844,C,C+
75.11727962224965,B,B
74.15036198995028,B,B
82.40774873554035,A,A
70.1950283781686,B,B
91.80301115735975,A,A
66.03014750143066,C,C+
100.0,A,A
79.3850102164751,B,B
57.14263665375576,D,C-
53.93661252908332,D,D
77.23708622864778,B,B
66.64805822011223,C,C+
80.71000741138138,A,A
77.09856436860318,B,B
68.9075663101469,C,C+
57.29809422897392,D,C-
47.27729162971203,F,F
63.302275718994686,C,C
82.84598191485209,A,A
73.21140616195306,B,B
51.31391831932018,D,D
72.59771388776772,B,B
75.77976069593255,B,B
56.74213845698301,D,C-
72.30587658918292,B,B
70.87313077669,B,B
52.85544553254066,D,D
